Epoch,Average Loss,Test Accuracy
1,0.6529382527544257,0.452914798206278
2,0.6058065368888084,0.6367713004484304
3,0.5909636619385709,0.5739910313901345
4,0.5744068352024206,0.6367713004484304
5,0.5754604745446966,0.6367713004484304
6,0.5676618167523587,0.6278026905829597
7,0.5701383523726731,0.6053811659192825
8,0.5607555876956897,0.6188340807174888
9,0.5690881177280726,0.6233183856502242
10,0.5446857985485806,0.6278026905829597
11,0.5395046366734451,0.6367713004484304
12,0.5546593797340822,0.6412556053811659
13,0.5379328790675388,0.6367713004484304
14,0.5282368130898207,0.6098654708520179
15,0.5394170335169589,0.5964125560538116
16,0.5363324954268638,0.6367713004484304
17,0.5187653271000037,0.6098654708520179
18,0.5200495043497407,0.6278026905829597
19,0.5230533392241832,0.6053811659192825
20,0.5125147745850381,0.6412556053811659
21,0.5345600596974405,0.6098654708520179
22,0.5342660871784338,0.6502242152466368
23,0.5260475465420926,0.6278026905829597
24,0.5054137216525132,0.6098654708520179
25,0.511745206425699,0.6233183856502242
26,0.5089784209647875,0.6457399103139013
27,0.5202054201886895,0.6188340807174888
28,0.5115590076767996,0.6591928251121076
29,0.49842314813913924,0.6457399103139013
30,0.49578434175319885,0.5964125560538116
31,0.533982929754793,0.5919282511210763
32,0.5121571102169122,0.6278026905829597
33,0.48816037378954086,0.6278026905829597
34,0.4922208396236548,0.6367713004484304
35,0.47125250864564705,0.6636771300448431
36,0.4977355669053753,0.6367713004484304
37,0.48756263925788107,0.6278026905829597
38,0.47518216184016027,0.6457399103139013
39,0.5074087057220802,0.6278026905829597
40,0.4992090189724826,0.6412556053811659
41,0.4887013494968414,0.6547085201793722
42,0.47023715316579584,0.6457399103139013
43,0.4900842133532749,0.6457399103139013
44,0.4703057343370459,0.6412556053811659
45,0.4697235463040598,0.6457399103139013
46,0.4519702470704411,0.6098654708520179
47,0.4409141717332133,0.6233183856502242
48,0.46630857325671765,0.6278026905829597
49,0.45893646920664927,0.6233183856502242
50,0.4716372335894724,0.6322869955156951
51,0.45130372918053957,0.6547085201793722
52,0.44507621935244357,0.6188340807174888
53,0.43195311487390753,0.6233183856502242
54,0.4427358349387565,0.6188340807174888
55,0.43741770909073646,0.6636771300448431
56,0.4666858691847726,0.6591928251121076
57,0.45452480604139606,0.6860986547085202
58,0.460958365376076,0.6233183856502242
59,0.4351344131351857,0.6502242152466368
60,0.4621215900008598,0.6457399103139013
61,0.43690468494811757,0.6636771300448431
62,0.424819754214769,0.6457399103139013
63,0.4443210408258974,0.6278026905829597
64,0.4274518426884426,0.6233183856502242
65,0.41499818516581244,0.6457399103139013
66,0.45663387065523126,0.6188340807174888
67,0.41777421899056166,0.6367713004484304
68,0.40895664946416793,0.6457399103139013
69,0.4147603935070252,0.6547085201793722
70,0.39921338410859697,0.6591928251121076
71,0.3987281235416284,0.6457399103139013
72,0.45742760139904665,0.6278026905829597
73,0.4244899253496963,0.6457399103139013
74,0.40469073124146193,0.6412556053811659
75,0.4036641655343302,0.6233183856502242
76,0.4197137927741147,0.6233183856502242
77,0.41837300008602357,0.6188340807174888
78,0.41175131121378267,0.6322869955156951
79,0.3870657113830695,0.6188340807174888
80,0.39744795393408017,0.6367713004484304
81,0.40461266161350723,0.6457399103139013
82,0.40936763032098833,0.6322869955156951
83,0.38658229547939943,0.6367713004484304
84,0.3978972438346134,0.6233183856502242
85,0.397919719540671,0.6322869955156951
86,0.37226756717381854,0.6591928251121076
87,0.3811096257708046,0.6367713004484304
88,0.42357643614994006,0.6591928251121076
89,0.40504823454310385,0.6547085201793722
90,0.4521242755852389,0.6591928251121076
91,0.3925442287091459,0.6591928251121076
92,0.38979769771018724,0.6233183856502242
93,0.3678307142150536,0.6143497757847534
94,0.3422856596748481,0.6322869955156951
95,0.3514195498455776,0.6412556053811659
96,0.3778844269473901,0.6188340807174888
97,0.39425908253434,0.6367713004484304
98,0.380278666032834,0.6457399103139013
99,0.3889011911461862,0.6547085201793722
100,0.37008118508906845,0.6233183856502242
101,0.38964096763160794,0.6412556053811659
102,0.34519279103600575,0.6547085201793722
103,0.3828049196286148,0.6367713004484304
104,0.33673309034176085,0.6188340807174888
105,0.33044814032115294,0.6322869955156951
106,0.3201490792665589,0.6502242152466368
107,0.3783566953091139,0.6457399103139013
108,0.3430267450514804,0.5919282511210763
109,0.3712084417932489,0.6681614349775785
110,0.3723633158742712,0.6233183856502242
111,0.3534482070569242,0.6502242152466368
112,0.34314890229300166,0.6367713004484304
113,0.3325365846746423,0.6188340807174888
114,0.2844261965390002,0.672645739910314
115,0.3257684321885698,0.6457399103139013
116,0.32049017896812954,0.6278026905829597
117,0.3402536897177107,0.6457399103139013
118,0.327084777261434,0.600896860986547
119,0.3638182319282146,0.6278026905829597
120,0.3377770127205367,0.6188340807174888
121,0.33029772565605936,0.6457399103139013
122,0.32395703631840395,0.6547085201793722
