Epoch,Average Loss,Test Accuracy,F1 Score
1,1.6808031956354776,0.21666666666666667,0.15016167870657035
2,1.5552007675170898,0.23333333333333334,0.16649952330955914
3,1.487559962272644,0.35,0.3457121098456432
4,1.4557934602101643,0.325,0.30504241428086654
5,1.3825596253077188,0.39166666666666666,0.3926577135858134
6,1.3495216528574625,0.38333333333333336,0.38014394157383424
7,1.3246113538742066,0.31666666666666665,0.29688550132994573
8,1.2453818559646606,0.425,0.42322320675299613
9,1.2091522773106893,0.4,0.3965208821968856
10,1.1702870925267537,0.4166666666666667,0.4157334921233392
11,1.1855499426523843,0.43333333333333335,0.43476886903489476
12,1.0901346842447917,0.5333333333333333,0.5336868294185367
13,1.0482155164082845,0.4583333333333333,0.4584185416101924
14,0.9678937037785847,0.5166666666666667,0.5296335455965397
15,0.9271288752555847,0.5416666666666666,0.5345065166891793
16,0.8808450301488241,0.525,0.5147087208083206
17,0.8722210009892781,0.35,0.33916588931093905
18,0.8333216428756713,0.5,0.49696787441374446
19,0.8102635025978089,0.5166666666666667,0.52480547545105
20,0.792446502049764,0.43333333333333335,0.4367704581832733
21,0.8182021220525105,0.38333333333333336,0.3472366597366597
22,0.7163303772608439,0.6083333333333333,0.6055164192740412
23,0.6577859203020732,0.5083333333333333,0.5247203429900706
24,0.6198509256045024,0.5333333333333333,0.5222857140050506
25,0.6009612917900086,0.55,0.541171119798382
26,0.5960168600082397,0.525,0.5333757400880043
27,0.5352317889531454,0.5333333333333333,0.5212271877424965
28,0.5865239461263021,0.5833333333333334,0.5809016199470775
29,0.5305523912111918,0.5333333333333333,0.5288756506180872
30,0.4435009598731995,0.55,0.5469462127052683
31,0.4375744899113973,0.5416666666666666,0.5518058827494
32,0.37575359145800274,0.5083333333333333,0.5107327714971354
33,0.3778469681739807,0.5666666666666667,0.5674011283206176
34,0.3225138505299886,0.6,0.596201458717608
35,0.2917493919531504,0.5666666666666667,0.5725464061106432
36,0.28012524445851644,0.6333333333333333,0.6329688765054619
37,0.2866553246974945,0.625,0.6199186701932697
38,0.26601247986157733,0.5083333333333333,0.5124782015414143
39,0.28444297512372335,0.5583333333333333,0.5422158937203624
40,0.2677009701728821,0.5583333333333333,0.5542456632929909
41,0.24971971412499747,0.5916666666666667,0.5962811951239061
42,0.21498470902442932,0.625,0.6218847030337559
43,0.19422608315944673,0.5333333333333333,0.521373568117575
44,0.21859575112660726,0.6083333333333333,0.6153350792161768
